x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
1.12692,0.743749,-2.5,0.394651,0.402282,2.37596
1.17499,0.730386,-2.5,0.440431,0.450621,2.37984
1.22012,0.709725,-2.5,0.492102,0.509788,2.38568
1.26221,0.681973,-2.5,0.537321,0.571866,2.38587
1.30113,0.647407,-2.5,0.578077,0.639209,2.38942
1.33681,0.606372,-2.5,0.61133,0.69801,2.39412
1.36915,0.559279,-2.5,0.64274,0.759429,2.40081
1.39806,0.506597,-2.5,0.666623,0.817208,2.40877
1.42348,0.448854,-2.5,0.688253,0.884374,2.41724
1.44534,0.386626,-2.5,0.703474,0.943862,2.41653
1.46359,0.320535,-2.5,0.716461,1.00914,2.41532
1.47817,0.251241,-2.5,0.725865,1.07802,2.41521
1.48907,0.179437,-2.5,0.731304,1.13855,2.40945
1.49624,0.10584,-2.5,0.728098,1.19943,2.40519
1.49968,0.0311854,-2.5,0.71443,1.24971,2.39719
1.49936,-0.0437806,-2.5,0.6909,1.29755,2.39074
1.4953,-0.118309,-2.5,0.662814,1.33473,2.39081
1.4875,-0.191656,-2.5,0.625947,1.36575,2.39857
1.47598,-0.263087,-2.5,0.587867,1.39641,2.40253
1.46077,-0.33189,-2.5,0.539979,1.42823,2.40562
1.44191,-0.397377,-2.5,0.489729,1.45886,2.40733
1.41945,-0.458893,-2.5,0.428963,1.49165,2.40835
1.39344,-0.515825,-2.5,0.372313,1.51327,2.40744
1.36395,-0.567602,-2.5,0.301329,1.53015,2.40175
1.33104,-0.613708,-2.5,0.235475,1.53552,2.39492
1.29481,-0.653682,-2.5,0.164095,1.5363,2.38553
1.25535,-0.687124,-2.5,0.0976804,1.53728,2.37545
1.21274,-0.713702,-2.5,0.019848,1.53439,2.37574
1.16711,-0.733148,-2.5,-0.0489648,1.52203,2.37687
1.11856,-0.745268,-2.5,-0.120212,1.50244,2.37759
1.06721,-0.749942,-2.5,-0.183647,1.47817,2.37963
1.01319,-0.747123,-2.5,-0.250864,1.44594,2.38542
0.956647,-0.736839,-2.5,-0.299217,1.41851,2.3878
0.897708,-0.719193,-2.5,-0.350044,1.39329,2.3923
0.836526,-0.694361,-2.5,-0.404563,1.36547,2.40358
0.773252,-0.662591,-2.5,-0.453335,1.33759,2.41904
0.708046,-0.624201,-2.5,-0.500164,1.3049,2.43808
0.64107,-0.579573,-2.5,-0.538914,1.26952,2.44729
0.572492,-0.529155,-2.5,-0.571188,1.2276,2.44562
0.502482,-0.47345,-2.5,-0.592264,1.18556,2.43745
0.431217,-0.413014,-2.5,-0.606509,1.1373,2.42613
0.358874,-0.348452,-2.5,-0.614478,1.09155,2.4187
0.285634,-0.280407,-2.5,-0.614821,1.04,2.41529
0.21168,-0.209562,-2.5,-0.609296,0.988737,2.41257
0.137197,-0.136622,-2.5,-0.599014,0.928621,2.40903
0.0623708,-0.0623168,-2.5,-0.58648,0.874803,2.40659
-0.012611,0.0126106,-2.5,-0.560254,0.812164,2.40982
-0.0875613,0.087412,-2.5,-0.529018,0.743473,2.41271
-0.162293,0.16134,-2.5,-0.491075,0.666853,2.40985
-0.236618,0.233656,-2.5,-0.452875,0.596002,2.40561
-0.310353,0.303638,-2.5,-0.406489,0.520334,2.40041
-0.383312,0.370585,-2.5,-0.354099,0.451463,2.38752
-0.455312,0.43383,-2.5,-0.299211,0.385023,2.37175
-0.526175,0.49274,-2.5,-0.236922,0.314148,2.36228
-0.595722,0.546727,-2.5,-0.171039,0.241915,2.36108
-0.663781,0.595251,-2.5,-0.112705,0.178684,2.36471
-0.73018,0.637828,-2.5,-0.0521134,0.107374,2.36741
-0.794754,0.674031,-2.5,0.0122448,0.0315278,2.36771
-0.857342,0.7035,-2.5,0.0738661,-0.0409266,2.36577
-0.917787,0.72594,-2.5,0.140922,-0.122946,2.36585
-0.975938,0.741126,-2.5,0.198358,-0.201133,2.37385
-1.03165,0.748908,-2.5,0.261873,-0.281307,2.37531
-1.08478,0.749206,-2.5,0.315713,-0.356503,2.37081
-1.1352,0.742019,-2.5,0.372515,-0.437753,2.36817
-1.18279,0.727417,-2.5,0.424844,-0.512768,2.37226
-1.22742,0.705548,-2.5,0.481658,-0.594856,2.38535
-1.26898,0.676629,-2.5,0.531002,-0.660936,2.39003
-1.30736,0.640949,-2.5,0.576329,-0.735564,2.39703
-1.34248,0.598865,-2.5,0.609646,-0.804076,2.40352
-1.37425,0.550798,-2.5,0.636339,-0.86927,2.40907
-1.40258,0.497227,-2.5,0.658751,-0.926262,2.41235
-1.4274,0.438688,-2.5,0.676857,-0.985422,2.40847
-1.44866,0.375765,-2.5,0.688297,-1.03622,2.40761
-1.4663,0.309089,-2.5,0.691413,-1.08796,2.40409
-1.48027,0.239323,-2.5,0.687659,-1.13273,2.39694
-1.49054,0.167168,-2.5,0.683939,-1.17577,2.38377
-1.49708,0.0933407,-2.5,0.674336,-1.21482,2.37575
-1.49988,0.0185811,-2.5,0.658127,-1.25074,2.36924
-1.49894,-0.0563633,-2.5,0.637596,-1.27699,2.3658
-1.49425,-0.130745,-2.5,0.607462,-1.30026,2.36304
-1.48582,-0.20382,-2.5,0.570515,-1.32349,2.35568
-1.47368,-0.274859,-2.5,0.522232,-1.3454,2.35375
-1.45785,-0.343152,-2.5,0.466282,-1.36393,2.3531
-1.43839,-0.408016,-2.5,0.411858,-1.37805,2.35593
-1.41532,-0.468803,-2.5,0.349228,-1.39327,2.36479
-1.38872,-0.524906,-2.5,0.286335,-1.41048,2.36599
-1.35865,-0.575764,-2.5,0.215452,-1.43162,2.35681
-1.32518,-0.62087,-2.5,0.147742,-1.44894,2.34846
-1.2884,-0.659772,-2.5,0.0714583,-1.4608,2.34482
-1.2484,-0.692082,-2.5,-0.00197197,-1.46311,2.34699
-1.20528,-0.717476,-2.5,-0.0871081,-1.46231,2.34788
-1.15915,-0.735702,-2.5,-0.158463,-1.4515,2.34428
-1.11012,-0.746577,-2.5,-0.230987,-1.4388,2.3394
-1.05831,-0.749993,-2.5,-0.287638,-1.42485,2.33451
-1.00386,-0.745914,-2.5,-0.347826,-1.39982,2.32851
-0.9469,-0.734383,-2.5,-0.398038,-1.37744,2.32046
-0.887573,-0.715514,-2.5,-0.450464,-1.35334,2.31393
