x_desired,y_desired,z_desired,x_actual,y_actual,z_actual
-0.118681,1.4953,-1.2,1.47915,0.797592,1.13445
-0.193267,1.4875,-1.2,1.48269,0.696936,1.14371
-0.267369,1.47598,-1.2,1.4841,0.602459,1.15149
-0.340803,1.46077,-1.2,1.48581,0.508543,1.15944
-0.413385,1.44191,-1.2,1.48834,0.408865,1.17011
-0.484934,1.41945,-1.2,1.49494,0.329106,1.18324
-0.555271,1.39344,-1.2,1.49757,0.232064,1.19593
-0.62422,1.36395,-1.2,1.49774,0.15798,1.20564
-0.691609,1.33104,-1.2,1.49732,0.0648941,1.21802
-0.757269,1.29481,-1.2,1.49735,-0.00794586,1.22584
-0.821037,1.25535,-1.2,1.49542,-0.0852959,1.2421
-0.882752,1.21274,-1.2,1.49339,-0.157212,1.25373
-0.942261,1.16711,-1.2,1.48683,-0.23569,1.26653
-0.999414,1.11856,-1.2,1.47593,-0.307066,1.27777
-1.05407,1.06721,-1.2,1.46231,-0.374716,1.28731
-1.10609,1.01319,-1.2,1.45073,-0.446491,1.2985
-1.15535,0.956647,-1.2,1.43537,-0.518125,1.30834
-1.20172,0.897708,-1.2,1.41956,-0.584346,1.31568
-1.24508,0.836526,-1.2,1.40297,-0.650506,1.32104
-1.28533,0.773252,-1.2,1.38225,-0.720519,1.3232
-1.32237,0.708046,-1.2,1.35598,-0.778924,1.32663
-1.35611,0.64107,-1.2,1.31485,-0.84903,1.32646
-1.38645,0.572492,-1.2,1.2764,-0.899495,1.32706
-1.41333,0.502482,-1.2,1.22037,-0.958145,1.32955
-1.43668,0.431217,-1.2,1.1716,-1.00368,1.3264
-1.45644,0.358874,-1.2,1.10501,-1.05487,1.31921
-1.47255,0.285634,-1.2,1.04936,-1.09086,1.31421
-1.48499,0.21168,-1.2,0.982824,-1.13518,1.30817
-1.49371,0.137197,-1.2,0.922199,-1.18125,1.30226
-1.4987,0.0623708,-1.2,0.851861,-1.22503,1.29676
-1.49995,-0.012611,-1.2,0.782853,-1.26383,1.29399
-1.49744,-0.0875613,-1.2,0.712333,-1.30816,1.28964
-1.49119,-0.162293,-1.2,0.653144,-1.34591,1.28527
-1.48122,-0.236618,-1.2,0.572058,-1.38981,1.27976
-1.46754,-0.310353,-1.2,0.514984,-1.41809,1.27395
-1.4502,-0.383312,-1.2,0.438642,-1.45284,1.27098
-1.42923,-0.455312,-1.2,0.378956,-1.47598,1.27727
-1.40469,-0.526175,-1.2,0.308839,-1.49846,1.28905
-1.37663,-0.595722,-1.2,0.243429,-1.51602,1.29869
-1.34514,-0.663781,-1.2,0.163998,-1.52487,1.3077
-1.31028,-0.73018,-1.2,0.091812,-1.53222,1.31131
-1.27215,-0.794754,-1.2,0.0145714,-1.53644,1.3134
-1.23084,-0.857342,-1.2,-0.0535942,-1.53672,1.31636
-1.18645,-0.917787,-1.2,-0.120607,-1.53413,1.32111
-1.1391,-0.975938,-1.2,-0.183193,-1.52648,1.34085
-1.0889,-1.03165,-1.2,-0.246411,-1.5147,1.35425
-1.03598,-1.08478,-1.2,-0.313779,-1.49581,1.35926
-0.980465,-1.1352,-1.2,-0.370516,-1.47475,1.35673
-0.922503,-1.18279,-1.2,-0.441995,-1.4428,1.3535
-0.862236,-1.22742,-1.2,-0.509183,-1.40822,1.3603
-0.799813,-1.26898,-1.2,-0.581392,-1.36058,1.36613
-0.735391,-1.30736,-1.2,-0.647443,-1.31286,1.36951
-0.669131,-1.34248,-1.2,-0.719977,-1.26228,1.37319
-0.601198,-1.37425,-1.2,-0.786935,-1.21983,1.3753
-0.531764,-1.40258,-1.2,-0.871425,-1.16179,1.37141
-0.460999,-1.4274,-1.2,-0.934396,-1.11333,1.36832
-0.389082,-1.44866,-1.2,-1.01102,-1.05065,1.36719
-0.316194,-1.4663,-1.2,-1.06934,-1.00205,1.36679
-0.242514,-1.48027,-1.2,-1.135,-0.946238,1.36781
-0.168229,-1.49054,-1.2,-1.18748,-0.895674,1.37045
-0.0935226,-1.49708,-1.2,-1.23859,-0.840399,1.36783
-0.0185826,-1.49988,-1.2,-1.2829,-0.786958,1.36323
0.0564032,-1.49894,-1.2,-1.3296,-0.724224,1.36347
0.131249,-1.49425,-1.2,-1.36677,-0.661568,1.36069
0.205766,-1.48582,-1.2,-1.40261,-0.58778,1.36165
0.279769,-1.47368,-1.2,-1.42868,-0.519542,1.35801
0.353073,-1.45785,-1.2,-1.45085,-0.44574,1.35089
0.425493,-1.43839,-1.2,-1.4693,-0.375931,1.34528
0.496851,-1.41532,-1.2,-1.47952,-0.317294,1.34113
0.566967,-1.38872,-1.2,-1.4875,-0.243605,1.33353
0.635665,-1.35865,-1.2,-1.49627,-0.181895,1.32763
0.702775,-1.32518,-1.2,-1.5106,-0.0988047,1.32021
0.768128,-1.2884,-1.2,-1.51793,-0.0302919,1.31267
0.831562,-1.2484,-1.2,-1.52059,0.0352155,1.3175
0.892916,-1.20528,-1.2,-1.51873,0.106971,1.32138
0.952039,-1.15915,-1.2,-1.51271,0.184862,1.32101
1.00878,-1.11012,-1.2,-1.50477,0.248165,1.31648
1.063,-1.05831,-1.2,-1.48857,0.328848,1.31066
1.11457,-1.00386,-1.2,-1.46876,0.389413,1.31156
1.16335,-0.9469,-1.2,-1.43659,0.465128,1.3106
1.20922,-0.887573,-1.2,-1.40853,0.523873,1.31032
1.25207,-0.826028,-1.2,-1.37511,0.593517,1.31162
1.29179,-0.762419,-1.2,-1.34448,0.660415,1.31298
1.32828,-0.696903,-1.2,-1.30741,0.737718,1.31398
1.36145,-0.629646,-1.2,-1.26954,0.807023,1.31626
1.39122,-0.560815,-1.2,-1.22499,0.877932,1.31847
1.41751,-0.490582,-1.2,-1.1811,0.938823,1.31915
1.44026,-0.419123,-1.2,-1.13076,1.00039,1.32281
1.4594,-0.346616,-1.2,-1.08235,1.05445,1.32713
1.4749,-0.273244,-1.2,-1.03589,1.10297,1.32997
1.48672,-0.199188,-1.2,-0.973125,1.16284,1.33252
1.49481,-0.124634,-1.2,-0.920402,1.20749,1.33283
1.49917,-0.0497688,-1.2,-0.851004,1.25785,1.33456
1.49979,0.0252211,-1.2,-0.798163,1.29129,1.33743
1.49665,0.100147,-1.2,-0.732886,1.32713,1.34166
1.48978,0.174824,-1.2,-0.669429,1.35743,1.34518
1.47918,0.249064,-1.2,-0.597978,1.38773,1.34507
1.46488,0.32268,-1.2,-0.528677,1.41207,1.34428
1.44692,0.395491,-1.2,-0.450681,1.43205,1.34521
1.42535,0.467312,-1.2,-0.383462,1.44597,1.34487
1.40021,0.537966,-1.2,-0.296462,1.46033,1.34372
1.37157,0.607275,-1.2,-0.225606,1.46723,1.3453
1.33951,0.675066,-1.2,-0.153859,1.47248,1.34592
1.3041,0.74117,-1.2,-0.0740965,1.47972,1.3478
1.26542,0.805421,-1.2,0.00768343,1.48714,1.3509
1.22359,0.86766,-1.2,0.0838829,1.49252,1.35338
1.17869,0.927729,-1.2,0.167566,1.49449,1.35128
1.13085,0.98548,-1.2,0.239868,1.49189,1.34976
1.08019,1.04077,-1.2,0.318126,1.48888,1.34801
1.02682,1.09345,-1.2,0.389434,1.48109,1.34346
0.970887,1.14341,-1.2,0.453098,1.46633,1.33533
0.912527,1.1905,-1.2,0.533082,1.44028,1.33948
0.851886,1.23462,-1.2,0.59772,1.41423,1.34381
0.789116,1.27566,-1.2,0.663383,1.38143,1.34442
0.724374,1.3135,-1.2,0.715076,1.35066,1.34074
0.657821,1.34806,-1.2,0.769984,1.31036,1.3317
0.589623,1.37925,-1.2,0.821525,1.27365,1.32639
0.519953,1.407,-1.2,0.878016,1.22835,1.32564
0.448982,1.43123,-1.2,0.92752,1.18189,1.32694
0.37689,1.45188,-1.2,0.978572,1.12937,1.3299
0.303855,1.4689,-1.2,1.02577,1.08312,1.33515
0.23006,1.48225,-1.2,1.08099,1.03049,1.34092
0.155692,1.4919,-1.2,1.1275,0.983263,1.34635
0.0809328,1.49782,-1.2,1.18326,0.915936,1.3506
0.00597258,1.49999,-1.2,1.22465,0.858706,1.3529
-0.0690033,1.49841,-1.2,1.27103,0.790271,1.36197
-0.143807,1.49309,-1.2,1.3134,0.727456,1.36794
-0.21825,1.48404,-1.2,1.35162,0.664835,1.37132
-0.292149,1.47127,-1.2,1.38609,0.592296,1.37182
-0.365317,1.45483,-1.2,1.41417,0.514636,1.36844
-0.437572,1.43476,-1.2,1.43942,0.445512,1.35967
-0.508732,1.4111,-1.2,1.46336,0.368559,1.35109
-0.578622,1.38391,-1.2,1.48023,0.297955,1.34512
-0.647066,1.35326,-1.2,1.49613,0.217089,1.34242
-0.713892,1.31923,-1.2,1.50798,0.139799,1.34084
-0.778934,1.2819,-1.2,1.51153,0.0738018,1.33656
-0.842027,1.24137,-1.2,1.51375,-0.00906295,1.33243
